TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
1,1,1.64,0,,1.62,,0,1,0,KL006R-KL006G,1.25,1.0
1,1,2.5,0,,2.48,,0,-1,0,KL006R-KL006G,1.25,0.0
1,1,2.87,0,,2.85,,0,-1,0,KL006R-KL006G,1.25,0.0
2,2,9.84,0,,0.91,,0,1,0,KL006R-KL006G,1.25,1.0
2,2,10.08,0,,1.15,,0,-1,0,KL006R-KL006G,1.25,1.0
2,2,10.93,0,,2.0,,0,-1,0,KL006R-KL006G,1.25,1.0
2,2,11.18,0,,2.25,,0,-1,0,KL006R-KL006G,1.25,1.0
3,2,18.36,3,20.77,0.73,19.28,1,1,0,KL006R-KL006G,1.25,1.0
3,2,18.81,3,20.77,1.18,19.28,1,-1,0,KL006R-KL006G,1.25,1.0
3,1,19.27,3,20.77,1.64,19.28,1,1,1,KL006R-KL006G,1.25,0.0
3,1,19.78,3,20.77,2.15,19.28,1,-2,0,KL006R-KL006G,1.25,0.0
4,1,32.19,3,33.87,0.939999999999998,32.33,1,1,0,KL006R-KL006G,1.25,0.0
4,2,32.32,3,33.87,1.07,32.33,1,1,1,KL006R-KL006G,1.25,1.0
4,2,32.45,3,33.87,1.2,32.33,1,-2,0,KL006R-KL006G,1.25,1.0
4,1,32.65,3,33.87,1.4,32.33,1,-2,0,KL006R-KL006G,1.25,0.0
4,2,33.1,3,33.87,1.85,32.33,1,-2,0,KL006R-KL006G,1.25,1.0
5,1,44.25,3,45.77,0.670000000000002,44.43,1,1,0,KL006R-KL006G,1.25,0.0
5,1,44.36,3,45.77,0.780000000000001,44.43,1,-1,0,KL006R-KL006G,1.25,0.0
5,2,44.41,3,45.77,0.829999999999998,44.43,1,1,1,KL006R-KL006G,1.25,1.0
5,2,44.76,3,45.77,1.18,44.43,1,-2,0,KL006R-KL006G,1.25,1.0
5,1,44.81,3,45.77,1.23,44.43,1,-2,0,KL006R-KL006G,1.25,0.0
6,1,56.53,3,58.55,0.770000000000003,56.61,1,1,0,KL006R-KL006G,1.25,0.0
6,2,56.59,3,58.55,0.830000000000005,56.61,1,1,1,KL006R-KL006G,1.25,1.0
6,2,56.86,3,58.55,1.1,56.61,1,-2,0,KL006R-KL006G,1.25,1.0
7,1,67.58,3,69.51,0.899999999999991,67.82,1,1,0,KL006R-KL006G,1.25,0.0
7,2,67.79,3,69.51,1.11,67.82,1,1,1,KL006R-KL006G,1.25,1.0
7,1,67.97,3,69.51,1.28999999999999,67.82,1,-2,0,KL006R-KL006G,1.25,0.0
7,2,68.51,3,69.51,1.83,67.82,1,-2,0,KL006R-KL006G,1.25,1.0
8,2,80.04,3,81.63,0.910000000000011,80.24,1,1,0,KL006R-KL006G,1.25,1.0
8,1,80.21,3,81.63,1.08,80.24,1,1,1,KL006R-KL006G,1.25,0.0
8,1,80.31,3,81.63,1.18000000000001,80.24,1,-2,0,KL006R-KL006G,1.25,0.0
8,2,80.33,3,81.63,1.2,80.24,1,-2,0,KL006R-KL006G,1.25,1.0
9,2,91.63,3,93.1,0.759999999999991,91.71,1,1,0,KL006R-KL006G,1.25,1.0
9,1,91.69,3,93.1,0.819999999999993,91.71,1,1,1,KL006R-KL006G,1.25,0.0
9,2,92.03,3,93.1,1.16,91.71,1,-2,0,KL006R-KL006G,1.25,1.0
10,1,104.06,3,105.72,0.689999999999998,104.18,1,1,0,KL006R-KL006G,1.25,0.0
10,2,104.15,3,105.72,0.780000000000001,104.18,1,1,1,KL006R-KL006G,1.25,1.0
11,1,116.43,3,118.47,0.650000000000006,117.23,1,1,0,KL006R-KL006G,1.25,0.0
11,1,116.72,3,118.47,0.939999999999998,117.23,1,-1,0,KL006R-KL006G,1.25,0.0
11,1,116.89,3,118.47,1.11,117.23,1,-1,0,KL006R-KL006G,1.25,0.0
11,2,117.21,3,118.47,1.42999999999999,117.23,1,1,1,KL006R-KL006G,1.25,1.0
11,1,117.33,3,118.47,1.55,117.23,1,-2,0,KL006R-KL006G,1.25,0.0
11,2,118.02,3,118.47,2.23999999999999,117.23,1,-2,0,KL006R-KL006G,1.25,1.0
12,1,128.68,3,130.66,0.920000000000002,128.72,1,1,0,KL006R-KL006G,1.25,0.0
12,2,128.7,3,130.66,0.939999999999984,128.72,1,1,1,KL006R-KL006G,1.25,1.0
12,1,128.78,3,130.66,1.02,128.72,1,-2,0,KL006R-KL006G,1.25,0.0
12,2,128.94,3,130.66,1.17999999999999,128.72,1,-2,0,KL006R-KL006G,1.25,1.0
12,2,129.37,3,130.66,1.61,128.72,1,-2,0,KL006R-KL006G,1.25,1.0
13,1,172.01,3,174.2,0.72999999999999,172.41,1,1,0,KL006R-KL006G,1.25,0.0
13,2,172.38,3,174.2,1.09999999999999,172.41,1,1,1,KL006R-KL006G,1.25,1.0
13,2,172.67,3,174.2,1.38999999999999,172.41,1,-2,0,KL006R-KL006G,1.25,1.0
13,1,172.79,3,174.2,1.50999999999999,172.41,1,-2,0,KL006R-KL006G,1.25,0.0
13,2,173.16,3,174.2,1.88,172.41,1,-2,0,KL006R-KL006G,1.25,1.0
14,1,185.08,3,186.9,1.04000000000002,185.16,1,1,0,KL006R-KL006G,1.25,0.0
14,2,185.15,3,186.9,1.11000000000001,185.16,1,1,1,KL006R-KL006G,1.25,1.0
14,2,185.91,3,186.9,1.87,185.16,1,-2,0,KL006R-KL006G,1.25,1.0
15,2,197.08,3,198.68,0.800000000000011,197.44,1,1,0,KL006R-KL006G,1.25,1.0
15,1,197.41,3,198.68,1.13,197.44,1,1,1,KL006R-KL006G,1.25,0.0
15,2,197.42,3,198.68,1.13999999999999,197.44,1,-2,0,KL006R-KL006G,1.25,1.0
15,2,197.62,3,198.68,1.34,197.44,1,-2,0,KL006R-KL006G,1.25,1.0
15,1,197.66,3,198.68,1.38,197.44,1,-2,0,KL006R-KL006G,1.25,0.0
16,1,209.09,3,212.11,0.719999999999999,210.27,1,1,0,KL006R-KL006G,1.25,0.0
16,2,210.26,3,212.11,1.88999999999999,210.27,1,1,1,KL006R-KL006G,1.25,1.0
17,2,241.3,0,,1.03,,0,1,0,KL006R-KL006G,1.25,1.0
17,2,242.52,0,,2.25,,0,-1,0,KL006R-KL006G,1.25,1.0
18,2,252.83,0,,1.14000000000001,,0,1,0,KL006R-KL006G,1.25,1.0
18,2,252.92,0,,1.22999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
19,2,261.45,0,,0.829999999999984,,0,1,0,KL006R-KL006G,1.25,1.0
19,2,261.8,0,,1.18000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
19,2,262.06,0,,1.44,,0,-1,0,KL006R-KL006G,1.25,1.0
19,2,262.88,0,,2.25999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
19,2,263.19,0,,2.56999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
20,2,271.52,0,,0.879999999999995,,0,1,0,KL006R-KL006G,1.25,1.0
20,2,271.72,0,,1.08000000000004,,0,-1,0,KL006R-KL006G,1.25,1.0
20,2,271.93,0,,1.29000000000002,,0,-1,0,KL006R-KL006G,1.25,1.0
20,2,272.7,0,,2.06,,0,-1,0,KL006R-KL006G,1.25,1.0
20,2,272.97,0,,2.33000000000004,,0,-1,0,KL006R-KL006G,1.25,1.0
21,1,279.22,3,282.55,0.910000000000025,280.36,1,1,0,KL006R-KL006G,1.25,0.0
21,2,280.34,3,282.55,2.02999999999997,280.36,1,1,1,KL006R-KL006G,1.25,1.0
22,2,292.75,3,294.4,0.819999999999993,292.81,1,1,0,KL006R-KL006G,1.25,1.0
22,1,292.79,3,294.4,0.860000000000014,292.81,1,1,1,KL006R-KL006G,1.25,0.0
22,2,292.96,3,294.4,1.02999999999997,292.81,1,-2,0,KL006R-KL006G,1.25,1.0
22,2,293.14,3,294.4,1.20999999999998,292.81,1,-2,0,KL006R-KL006G,1.25,1.0
23,2,305.02,3,307.04,0.849999999999966,305.1,1,1,0,KL006R-KL006G,1.25,1.0
23,1,305.08,3,307.04,0.909999999999968,305.1,1,1,1,KL006R-KL006G,1.25,0.0
23,2,305.26,3,307.04,1.08999999999997,305.1,1,-2,0,KL006R-KL006G,1.25,1.0
23,1,305.42,3,307.04,1.25,305.1,1,-2,0,KL006R-KL006G,1.25,0.0
24,2,318.44,0,,3.92000000000002,,0,1,0,KL006R-KL006G,1.25,1.0
24,2,318.63,0,,4.11000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
24,2,319.68,0,,5.16000000000003,,0,-1,0,KL006R-KL006G,1.25,1.0
24,2,319.95,0,,5.43000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
25,1,327.14,3,328.73,0.909999999999968,327.34,1,1,0,KL006R-KL006G,1.25,0.0
25,2,327.31,3,328.73,1.07999999999998,327.34,1,1,1,KL006R-KL006G,1.25,1.0
26,2,336.74,0,,0.850000000000023,,0,1,0,KL006R-KL006G,1.25,1.0
26,2,337.06,0,,1.17000000000002,,0,-1,0,KL006R-KL006G,1.25,1.0
26,2,337.3,0,,1.41000000000003,,0,-1,0,KL006R-KL006G,1.25,1.0
27,1,348.91,0,,0.980000000000018,,0,1,0,KL006R-KL006G,1.25,1.0
27,1,349.05,0,,1.12,,0,-1,0,KL006R-KL006G,1.25,1.0
27,1,349.23,0,,1.30000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
27,1,349.57,0,,1.63999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
27,1,350.58,0,,2.64999999999998,,0,-1,0,KL006R-KL006G,1.25,1.0
28,2,360.72,0,,3.22000000000003,,0,1,0,KL006R-KL006G,1.25,1.0
28,2,360.94,0,,3.44,,0,-1,0,KL006R-KL006G,1.25,1.0
29,1,368.54,3,370.37,0.930000000000007,368.58,1,1,0,KL006R-KL006G,1.25,0.0
29,2,368.54,3,370.37,0.930000000000007,368.58,1,1,1,KL006R-KL006G,1.25,1.0
29,2,368.8,3,370.37,1.19,368.58,1,-2,0,KL006R-KL006G,1.25,1.0
29,2,369.02,3,370.37,1.40999999999997,368.58,1,-2,0,KL006R-KL006G,1.25,1.0
30,2,380.47,3,382.1,0.910000000000025,380.51,1,1,0,KL006R-KL006G,1.25,1.0
30,1,380.48,3,382.1,0.920000000000016,380.51,1,1,1,KL006R-KL006G,1.25,0.0
31,1,390.52,0,,0.71999999999997,,0,1,0,KL006R-KL006G,1.25,0.0
31,1,391.37,0,,1.56999999999999,,0,-1,0,KL006R-KL006G,1.25,0.0
32,1,400.5,3,403.37,0.889999999999986,401.38,1,1,0,KL006R-KL006G,1.25,0.0
32,2,401.37,3,403.37,1.75999999999999,401.38,1,1,1,KL006R-KL006G,1.25,1.0
32,2,401.51,3,403.37,1.89999999999998,401.38,1,-2,0,KL006R-KL006G,1.25,1.0
33,1,413.27,0,,1.25999999999999,,0,1,0,KL006R-KL006G,1.25,0.0
34,2,426.69,0,,4.93000000000001,,0,1,0,KL006R-KL006G,1.25,1.0
34,2,426.95,0,,5.19,,0,-1,0,KL006R-KL006G,1.25,1.0
34,2,427.18,0,,5.42000000000002,,0,-1,0,KL006R-KL006G,1.25,1.0
34,2,427.3,0,,5.54000000000002,,0,-1,0,KL006R-KL006G,1.25,1.0
34,2,427.54,0,,5.78000000000003,,0,-1,0,KL006R-KL006G,1.25,1.0
35,2,438.11,0,,1.13,,0,1,0,KL006R-KL006G,1.25,1.0
35,2,438.61,0,,1.63,,0,-1,0,KL006R-KL006G,1.25,1.0
35,2,439.22,0,,2.24000000000001,,0,-1,0,KL006R-KL006G,1.25,1.0
35,2,439.7,0,,2.71999999999997,,0,-1,0,KL006R-KL006G,1.25,1.0
35,2,439.93,0,,2.94999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
36,2,447.93,0,,1.13,,0,1,0,KL006R-KL006G,1.25,1.0
36,2,448.38,0,,1.57999999999998,,0,-1,0,KL006R-KL006G,1.25,1.0
36,2,449.12,0,,2.31999999999999,,0,-1,0,KL006R-KL006G,1.25,1.0
36,2,449.43,0,,2.63,,0,-1,0,KL006R-KL006G,1.25,1.0
36,2,449.92,0,,3.12,,0,-1,0,KL006R-KL006G,1.25,1.0
37,1,458.7,3,460.81,0.779999999999973,458.82,1,1,0,KL006R-KL006G,1.25,0.0
37,2,458.8,3,460.81,0.879999999999995,458.82,1,1,1,KL006R-KL006G,1.25,1.0
37,2,459.04,3,460.81,1.12,458.82,1,-2,0,KL006R-KL006G,1.25,1.0
38,2,487.62,3,490.37,0.980000000000018,488.78,1,1,0,KL006R-KL006G,1.25,1.0
38,2,487.91,3,490.37,1.27000000000004,488.78,1,-1,0,KL006R-KL006G,1.25,1.0
38,2,488.34,3,490.37,1.69999999999999,488.78,1,-1,0,KL006R-KL006G,1.25,1.0
38,1,488.75,3,490.37,2.11000000000001,488.78,1,1,1,KL006R-KL006G,1.25,0.0
38,2,488.85,3,490.37,2.21000000000004,488.78,1,-2,0,KL006R-KL006G,1.25,1.0
38,2,489.04,3,490.37,2.40000000000003,488.78,1,-2,0,KL006R-KL006G,1.25,1.0
38,2,489.39,3,490.37,2.75,488.78,1,-2,0,KL006R-KL006G,1.25,1.0
39,1,500.91,0,,0.760000000000048,,0,1,0,KL006R-KL006G,1.25,0.0
39,1,501.65,0,,1.5,,0,-1,0,KL006R-KL006G,1.25,0.0
39,1,502.4,0,,2.25,,0,-1,0,KL006R-KL006G,1.25,0.0
40,1,511.84,0,,0.739999999999952,,0,1,0,KL006R-KL006G,1.25,0.0
40,1,512.26,0,,1.15999999999997,,0,-1,0,KL006R-KL006G,1.25,0.0
40,1,512.65,0,,1.54999999999995,,0,-1,0,KL006R-KL006G,1.25,0.0
41,2,522.0,0,,0.970000000000027,,0,1,0,KL006R-KL006G,1.25,1.0
